;image_id;face_sunglasses;user_posted_photos;post_graduate;face_mustache;user_followed_by;face_beard;born;eyeglasses;college;female;income;emotion_score;PERMA;high_school;insta_user_id;user_follows
206;1270702328026694762_34069800;False;757.0;False;False;456.0;False;1988;False;True;True;85000;0.17098;7;False;34069800;455.0
207;1272230027750326329_1901242351;False;242.0;False;False;258.0;False;1988;False;True;True;75000;0.1941;6;False;1901242351;319.0
208;1272395682961333690_1600397470;False;448.0;True;True;469.0;True;1989;False;False;False;25000;0.20994;9;False;1600397470;125.0
209;1273049554771276405_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.12996;9;False;2062266819;339.0
210;1273243521754028618_183823541;False;1344.0;False;True;148.0;False;1977;False;True;True;55000;0.1587;6;False;183823541;180.0
211;1273283701801009188_451627351;False;348.0;False;True;274.0;True;1982;False;True;False;25000;0.18654;10;False;451627351;489.0
212;1274299082386963685_2321879606;True;6.0;False;False;32.0;False;1991;True;True;False;5000;0.21276;8;False;2321879606;39.0
213;1274717879562883997_195148027;False;113.0;True;True;394.0;True;1988;False;False;False;75000;0.21846;9;False;195148027;834.0
214;1274802238349888918_619868570;True;469.0;False;False;612.0;True;1975;True;True;False;35000;0.15846;5;False;619868570;1987.0
215;1274824169944826183_451627351;False;348.0;False;True;274.0;True;1982;False;True;False;25000;0.13674;10;False;451627351;489.0
216;1276300069670957910_52590715;False;464.0;False;False;105.0;False;1985;False;True;True;5000;0.1507;7;False;52590715;187.0
217;1276955472565820822_46329534;False;503.0;False;False;322.0;False;1991;False;False;True;25000;0.19496;4;True;46329534;559.0
218;1277574221263294562_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.2141;6;True;249861555;5154.0
219;1277788075984196409_6734387;False;465.0;False;True;1047.0;True;1992;True;True;True;55000;0.2558;6;False;6734387;888.0
220;1284455603200072608_52590715;False;464.0;False;False;105.0;False;1985;False;True;True;5000;0.1529;7;False;52590715;187.0
221;1288676665467159924_481709584;False;178.0;False;False;328.0;False;1997;False;False;True;15000;0.15;9;True;481709584;432.0
222;1288865951001683750_619868570;True;469.0;False;True;612.0;True;1975;True;True;False;35000;0.1261;5;False;619868570;1987.0
223;1291454832313430440_2092276386;False;358.0;False;False;545.0;True;1971;False;False;False;25000;0.131;2;True;2092276386;6303.0
224;1291499393731866251_265063047;False;384.0;False;False;389.0;False;1993;False;False;True;85000;0.17676;4;True;265063047;32.0
225;1293142001751851388_2932434558;False;108.0;False;False;284.0;False;1995;False;False;True;5000;0.13502;5;True;2932434558;432.0
226;1293570344418718452_145242840;False;339.0;False;False;1365.0;False;1984;False;True;True;55000;0.2153;8;False;145242840;1295.0
